# tracer: nop
#
# entries-in-buffer/entries-written: 30743/14866026   #P:28
#
#                              _-----=> irqs-off
#                             / _----=> need-resched
#                            | / _---=> hardirq/softirq
#                            || / _--=> preempt-depth
#                            ||| /     delay
#           TASK-PID   CPU#  ||||    TIMESTAMP  FUNCTION
#              | |       |   ||||       |         |
   systemd-udevd-365   [019] ....    13.863817: tcp_packet: Some ptrs: init net ffffffff82319c80(2319), vmemmap ffffea0000000000 (0)
     ksoftirqd/5-38    [005] ..s.   734.236094: mlx5e_skb_from_cqe_linear: a9eb302937) data ffff889fa8da2800 shinfo ffff889fa8da2e40[ffffea007ea36880]
     ksoftirqd/5-38    [005] ..s.   734.236095: skb_gro_receive: pinfo = ffff889fa8d9d640[ffffea007ea36740] skbinfo ffff889fa8da2e40[ffffea007ea36880]
     ksoftirqd/5-38    [005] ..s.   734.236095: dev_gro_receive: same flow... 
     ksoftirqd/5-38    [005] ..s.   734.236095: mlx5e_skb_from_cqe_linear: a9eb302ccf) data ffff889fa8da3000 shinfo ffff889fa8da3640[ffffea007ea368c0]
     ksoftirqd/5-38    [005] ..s.   734.236096: skb_gro_receive: pinfo = ffff889fa8d9d640[ffffea007ea36740] skbinfo ffff889fa8da3640[ffffea007ea368c0]
     ksoftirqd/5-38    [005] ..s.   734.236096: dev_gro_receive: same flow... 
     ksoftirqd/5-38    [005] ..s.   734.236096: mlx5e_skb_from_cqe_linear: a9eb303067) data ffff889fa8da3800 shinfo ffff889fa8da3e40[ffffea007ea368c0]
     ksoftirqd/5-38    [005] ..s.   734.236096: skb_gro_receive: pinfo = ffff889fa8d9d640[ffffea007ea36740] skbinfo ffff889fa8da3e40[ffffea007ea368c0]
     ksoftirqd/5-38    [005] ..s.   734.236097: dev_gro_receive: same flow... 
     ksoftirqd/5-38    [005] ..s.   734.236097: mlx5e_skb_from_cqe_linear: a9eb3033f7) data ffff889fa8da4000 shinfo ffff889fa8da4640[ffffea007ea36900]
     ksoftirqd/5-38    [005] ..s.   734.236097: skb_gro_receive: pinfo = ffff889fa8d9d640[ffffea007ea36740] skbinfo ffff889fa8da4640[ffffea007ea36900]
     ksoftirqd/5-38    [005] ..s.   734.236097: dev_gro_receive: same flow... 
